Model,Final Loss,Final HR@10
Baseline,0.8847505441171846,0.271
Robust_FL,0.9249965020110558,0.22200000000000003
Drift_Aware,1.2705348183883116,0.197
XFedRec_Full,1.3398769200661707,0.19899999999999998
