avg_loss,avg_hr,avg_ndcg,drift_events,round
6.173872471701499,0.368,0.18207442828942533,[],1
1.669328399062903,0.2790000000000001,0.13855232693531017,[],2
1.4534644083421377,0.265,0.12645890702803034,[],3
1.396488060168444,0.242,0.1140312777997549,[],4
1.37225467892613,0.26599999999999996,0.13297078728798137,[],5
1.3510844654813905,0.251,0.1237650925285884,[],6
1.3187026076990045,0.25199999999999995,0.11673142077458565,[],7
1.3074204765916506,0.23200000000000004,0.11328452351119264,[],8
1.2833045728884476,0.23600000000000004,0.11473629024677894,[],9
1.2698502191103331,0.23700000000000002,0.11212122472331132,[],10
