avg_loss,avg_hr,avg_ndcg,drift_events,round
6.027266364872392,0.34900000000000003,0.17158593869072103,[],1
1.784086384806444,0.354,0.1718955010253953,[],2
1.5478815327866766,0.311,0.1459973168706615,[],3
1.4498116723462737,0.27,0.12822107438164249,[],4
1.3996271149235304,0.30300000000000005,0.13910951503598576,[],5
1.371319591877894,0.28700000000000003,0.13435711030221098,[],6
1.3469621024546006,0.271,0.12859597056258001,[],7
1.320615312796987,0.25600000000000006,0.1232796825215727,[],8
1.2888890426329258,0.263,0.1275782938914338,[],9
1.2713580552615396,0.263,0.12321939507247985,[],10
